date,hospital_onset_covid
2021/06/15,4.0
2021/06/13,0.0
2021/06/06,2.0
2021/06/04,5.0
2021/06/03,1.0
2021/06/03,3.0
2021/06/02,5.0
2021/05/30,3.0
2021/05/30,5.0
2021/05/28,3.0
2021/05/28,5.0
2021/05/27,6.0
2021/05/26,5.0
2021/05/25,6.0
2021/05/24,6.0
2021/05/23,0.0
2021/05/23,19.0
2021/05/21,2.0
2021/05/20,19.0
2021/05/20,5.0
2021/05/19,0.0
2021/05/19,3.0
2021/05/18,2.0
2021/05/18,5.0
2021/05/16,0.0
2021/05/14,0.0
2021/05/13,0.0
2021/05/12,2.0
2021/05/11,12.0
2021/05/11,5.0
2021/05/09,1.0
2021/05/07,0.0
2021/05/06,0.0
2021/05/05,4.0
2021/05/05,29.0
2021/05/04,0.0
2021/05/03,2.0
2021/05/02,4.0
2021/04/30,22.0
2021/04/30,0.0
2021/04/29,0.0
2021/04/27,1.0
2021/04/24,8.0
2021/04/23,7.0
2021/04/22,1.0
2021/04/22,0.0
2021/04/20,0.0
2021/04/19,1.0
2021/04/19,29.0
2021/04/18,7.0
2021/04/17,0.0
2021/04/17,3.0
2021/04/15,0.0
2021/04/14,0.0
2021/04/14,0.0
2021/04/13,0.0
2021/04/13,2.0
2021/04/10,0.0
2021/04/10,0.0
2021/04/09,0.0
2021/04/08,4.0
2021/04/08,1.0
2021/04/07,2.0
2021/04/06,0.0
2021/04/05,0.0
2021/04/05,3.0
2021/04/03,0.0
2021/04/03,13.0
2021/04/03,0.0
2021/04/02,1.0
2021/04/02,0.0
2021/04/02,0.0
2021/04/01,2.0
2021/03/31,1.0
2021/03/30,1.0
2021/03/30,36.0
2021/03/29,3.0
2021/03/28,21.0
2021/03/28,1.0
2021/03/27,0.0
2021/03/26,1.0
2021/03/26,0.0
2021/03/24,3.0
2021/03/24,1.0
2021/03/17,27.0
2021/02/23,1.0
2021/02/18,6.0
2021/02/13,14.0
2021/02/05,34.0
2021/02/02,2.0
2021/01/26,3.0
2021/01/20,95.0
2021/01/20,34.0
2021/01/17,36.0
2021/01/13,3.0
2021/01/13,38.0
2021/01/13,20.0
2021/01/10,20.0
2021/01/09,15.0
2021/01/08,35.0
2021/01/07,3.0
2021/01/06,17.0
2021/01/01,21.0
2020/12/31,21.0
2020/12/30,22.0
2020/12/30,21.0
2020/12/29,8.0
2020/12/17,14.0
2020/12/10,17.0
2020/10/16,0.0
2020/10/15,0.0
2020/10/14,4.0
2020/10/13,0.0
2020/10/11,3.0
2020/10/09,0.0
2020/10/08,0.0
2020/10/05,1.0
2020/10/05,0.0
2020/10/03,0.0
2020/10/01,0.0
2020/10/01,0.0
2020/09/30,2.0
2020/09/29,0.0
2020/09/28,7.0
2020/09/26,0.0
2020/09/22,0.0
2020/09/22,0.0
2020/09/21,0.0
2020/09/10,0.0
2020/09/09,0.0
2020/09/08,0.0
2020/09/02,1.0
2020/08/29,0.0
2020/08/28,1.0
2020/08/27,0.0
2020/08/25,1.0
2020/08/24,1.0
2020/08/23,1.0
2020/08/22,0.0
2020/08/21,33.0
2020/08/20,1.0
2020/08/18,0.0
2020/08/17,1.0
2020/08/15,1.0
2020/08/08,0.0
2020/08/02,2.0
2020/07/31,1.0
2020/07/29,0.0
2020/07/28,0.0
2020/07/26,0.0
2020/07/24,1.0
2020/07/23,1.0
2020/07/22,5.0
2020/07/19,
2020/07/15,0.0
2020/07/15,4.0
2020/07/10,1.0
2020/07/01,1.0
2020/06/22,16.0
2020/06/16,5.0
2020/06/14,0.0
2020/06/13,0.0
2020/06/04,0.0
2020/05/11,0.0
2020/05/05,1.0
2020/04/25,9.0
2020/03/28,0.0
2020/03/27,
2020/03/24,
2020/03/23,
2020/03/21,
2020/03/15,
2020/03/08,
2020/03/06,
2020/02/19,
2020/02/07,
2020/01/27,0.0
2020/01/02,
2020/01/01,
2022/05/23,1.0
2022/05/22,0.0
2022/05/22,0.0
2022/05/22,0.0
2022/05/21,0.0
2022/05/20,0.0
2022/05/20,0.0
2022/05/19,0.0
2022/05/18,0.0
2022/05/17,0.0
2022/05/17,1.0
2022/05/16,0.0
2022/05/15,1.0
2022/05/14,0.0
2022/05/14,2.0
2022/05/13,0.0
2022/05/13,0.0
2022/05/12,0.0
2022/05/12,4.0
2022/05/11,0.0
2022/05/09,0.0
2022/05/09,0.0
2022/05/09,8.0
2022/05/09,0.0
2022/05/07,8.0
2022/05/06,0.0
2022/05/06,8.0
2022/05/05,0.0
2022/05/05,8.0
2022/05/04,8.0
2022/05/03,0.0
2022/05/02,0.0
2022/05/01,0.0
2022/05/01,9.0
2022/04/30,0.0
2022/04/29,9.0
2022/04/28,0.0
2022/04/28,8.0
2022/04/27,0.0
2022/04/27,0.0
2022/04/26,0.0
2022/04/26,3.0
2022/04/26,0.0
2022/04/24,0.0
2022/04/23,0.0
2022/04/23,0.0
2022/04/22,0.0
2022/04/21,0.0
2022/04/20,0.0
2022/04/20,0.0
2022/04/19,0.0
2022/04/18,0.0
2022/04/17,0.0
2022/04/17,4.0
2022/04/16,0.0
2022/04/15,0.0
2022/04/15,0.0
2022/04/14,0.0
2022/04/13,0.0
2022/04/13,0.0
2022/04/12,0.0
2022/04/12,0.0
2022/04/11,0.0
2022/04/09,0.0
2022/04/09,0.0
2022/04/08,0.0
2022/04/08,0.0
2022/04/08,0.0
2022/04/07,0.0
2022/04/06,0.0
2022/04/06,0.0
2022/04/05,0.0
2022/04/04,0.0
2022/04/03,0.0
2022/04/02,0.0
2022/03/31,0.0
2022/03/30,0.0
2022/03/28,0.0
2022/03/28,0.0
2022/03/27,0.0
2022/03/26,0.0
2022/03/25,0.0
2022/03/25,0.0
2022/03/24,0.0
2022/03/24,0.0
2022/03/23,0.0
2022/03/22,0.0
2022/03/21,0.0
2022/03/20,0.0
2022/03/20,0.0
2022/03/19,0.0
2022/03/18,0.0
2022/03/17,0.0
2022/03/17,0.0
2022/03/16,0.0
2022/03/16,0.0
2022/03/15,0.0
2022/03/15,0.0
2022/03/14,0.0
2022/03/13,1.0
2022/03/12,0.0
2022/03/12,2.0
2022/03/11,0.0
2022/03/10,0.0
2022/03/09,0.0
2022/03/09,0.0
2022/03/08,0.0
2022/03/08,0.0
2022/03/07,0.0
2022/03/07,2.0
2022/03/06,0.0
2022/03/05,0.0
2022/03/04,0.0
2022/03/04,0.0
2022/03/03,0.0
2022/03/02,0.0
2022/03/01,0.0
2022/03/01,1.0
2022/02/28,0.0
2022/02/28,2.0
2022/02/27,0.0
2022/02/27,1.0
2022/02/26,0.0
2022/02/25,0.0
2022/02/24,0.0
2022/02/24,0.0
2022/02/23,0.0
2022/02/22,0.0
2022/02/21,0.0
2022/02/21,1.0
2022/02/20,0.0
2022/02/20,1.0
2022/02/19,0.0
2022/02/19,1.0
2022/02/18,0.0
2022/02/17,0.0
2022/02/16,0.0
2022/02/16,0.0
2022/02/15,0.0
2022/02/14,2.0
2022/02/13,0.0
2022/02/13,2.0
2022/02/12,0.0
2022/02/12,1.0
2022/02/11,0.0
2022/02/10,0.0
2022/02/09,0.0
2022/02/08,0.0
2022/02/08,0.0
2022/02/07,0.0
2022/02/06,3.0
2022/02/05,4.0
2022/02/04,1.0
2022/02/01,4.0
2022/01/31,2.0
2022/01/30,0.0
2022/01/29,3.0
2022/01/28,0.0
2022/01/28,4.0
2022/01/27,4.0
2022/01/24,0.0
2022/01/23,0.0
2022/01/23,0.0
2022/01/21,4.0
2022/01/20,0.0
2022/01/19,0.0
2022/01/17,0.0
2022/01/16,0.0
2022/01/15,0.0
2022/01/13,0.0
2022/01/12,0.0
2022/01/11,0.0
2022/01/09,0.0
2022/01/08,6.0
2022/01/07,0.0
2022/01/07,0.0
2022/01/06,0.0
2022/01/05,0.0
2022/01/04,9.0
2022/01/01,0.0
2022/01/01,0.0
2021/12/31,0.0
2021/12/28,0.0
2021/12/24,0.0
2021/12/21,4.0
2021/12/20,10.0
2021/12/20,0.0
2021/12/13,2.0
2021/12/13,3.0
2021/12/12,0.0
2021/12/11,8.0
2021/12/02,9.0
2021/11/26,0.0
2021/11/25,4.0
2021/11/25,4.0
2021/11/24,1.0
2021/11/23,0.0
2021/11/20,1.0
2021/11/19,41.0
2021/11/18,0.0
2021/11/15,0.0
2021/11/14,0.0
2021/11/13,11.0
2021/11/11,0.0
2021/11/10,10.0
2021/11/08,0.0
2021/11/05,0.0
2021/11/05,70.0
2021/11/01,2.0
2021/11/01,4.0
2021/10/30,0.0
2021/10/25,11.0
2021/10/25,71.0
2021/10/23,1.0
2021/10/20,4.0
2021/10/19,0.0
2021/10/19,10.0
2021/10/18,1.0
2021/10/14,9.0
2021/10/13,1.0
2021/10/10,1.0
2021/10/09,2.0
2021/10/08,1.0
2021/10/05,33.0
2021/10/04,5.0
2021/09/29,4.0
2021/09/22,1.0
2021/09/20,1.0
2021/09/19,1.0
2021/09/15,40.0
2021/09/14,54.0
2021/09/04,12.0
2021/09/01,10.0
2021/08/31,0.0
2021/08/30,1.0
2021/08/30,1.0
2021/08/29,1.0
2021/08/28,1.0
2021/08/25,15.0
2021/08/25,0.0
2021/08/24,0.0
2021/08/23,2.0
2021/08/22,0.0
2021/08/21,4.0
2021/08/21,0.0
2021/08/18,7.0
2021/08/18,3.0
2021/08/17,0.0
2021/08/15,1.0
2021/08/14,0.0
2021/08/13,1.0
2021/08/13,1.0
2021/08/10,25.0
2021/08/09,33.0
2021/08/06,2.0
2021/08/06,0.0
2021/08/05,0.0
2021/08/04,0.0
2021/08/04,1.0
2021/08/04,4.0
2021/08/03,0.0
2021/08/03,10.0
2021/08/02,0.0
2021/08/01,7.0
2021/07/31,0.0
2021/07/29,1.0
2021/07/28,0.0
2021/07/27,6.0
2021/07/25,7.0
2021/07/25,3.0
2021/07/24,0.0
2021/07/18,5.0
2021/07/15,6.0
2021/07/11,26.0
2021/07/11,1.0
2021/07/10,0.0
2021/07/09,2.0
2021/07/01,0.0
2021/06/26,0.0
2021/06/25,0.0
2021/06/17,2.0
2023/04/30,0.0
2023/04/30,1.0
2023/04/29,0.0
2023/04/27,0.0
2023/04/26,0.0
2023/04/25,0.0
2023/04/24,0.0
2023/04/23,0.0
2023/04/23,0.0
2023/04/20,0.0
2023/04/19,0.0
2023/04/17,3.0
2023/04/16,0.0
2023/04/15,1.0
2023/04/14,0.0
2023/04/14,0.0
2023/04/14,23.0
2023/04/10,0.0
2023/04/08,0.0
2023/04/07,0.0
2023/04/05,0.0
2023/04/05,0.0
2023/04/04,0.0
2023/04/04,0.0
2023/04/03,0.0
2023/04/02,0.0
2023/04/01,12.0
2023/03/31,1.0
2023/03/31,0.0
2023/03/30,0.0
2023/03/28,0.0
2023/03/28,0.0
2023/03/27,0.0
2023/03/27,4.0
2023/03/26,0.0
2023/03/25,0.0
2023/03/24,0.0
2023/03/22,0.0
2023/03/20,0.0
2023/03/20,1.0
2023/03/19,0.0
2023/03/19,0.0
2023/03/17,0.0
2023/03/16,2.0
2023/03/15,0.0
2023/03/14,0.0
2023/03/13,0.0
2023/03/12,0.0
2023/03/11,0.0
2023/03/09,0.0
2023/03/09,0.0
2023/03/08,0.0
2023/03/08,0.0
2023/03/06,0.0
2023/03/05,0.0
2023/03/04,0.0
2023/03/03,0.0
2023/03/02,0.0
2023/03/01,0.0
2023/02/28,0.0
2023/02/26,0.0
2023/02/25,0.0
2023/02/24,0.0
2023/02/23,0.0
2023/02/21,0.0
2023/02/20,0.0
2023/02/20,0.0
2023/02/18,0.0
2023/02/17,0.0
2023/02/15,0.0
2023/02/13,0.0
2023/02/13,0.0
2023/02/13,0.0
2023/02/12,0.0
2023/02/10,0.0
2023/02/07,0.0
2023/02/05,0.0
2023/02/05,0.0
2023/02/04,0.0
2023/02/02,0.0
2023/01/30,0.0
2023/01/28,0.0
2023/01/28,0.0
2023/01/27,0.0
2023/01/25,0.0
2023/01/22,0.0
2023/01/20,0.0
2023/01/20,0.0
2023/01/19,0.0
2023/01/17,0.0
2023/01/14,0.0
2023/01/11,0.0
2023/01/09,0.0
2023/01/06,0.0
2023/01/03,0.0
2023/01/01,0.0
2022/12/29,0.0
2022/12/27,0.0
2022/12/24,0.0
2022/12/21,0.0
2022/12/19,0.0
2022/12/17,1.0
2022/12/15,2.0
2022/12/14,0.0
2022/12/14,2.0
2022/12/13,0.0
2022/12/13,2.0
2022/12/12,0.0
2022/12/12,2.0
2022/12/12,1.0
2022/12/09,1.0
2022/12/09,0.0
2022/12/09,2.0
2022/12/08,0.0
2022/12/07,0.0
2022/12/06,0.0
2022/12/06,0.0
2022/12/05,0.0
2022/12/04,0.0
2022/12/04,0.0
2022/12/04,0.0
2022/12/03,0.0
2022/12/01,0.0
2022/12/01,0.0
2022/11/30,0.0
2022/11/30,0.0
2022/11/30,0.0
2022/11/29,9.0
2022/11/28,0.0
2022/11/28,0.0
2022/11/27,0.0
2022/11/26,0.0
2022/11/25,0.0
2022/11/25,0.0
2022/11/23,0.0
2022/11/22,0.0
