Year,Arcadia NP,Cape Hatteras NS,Kenai Fjords NP,Olympic NP,Padre Island NS
1997,45.03333333,61.66666667,36.28333333,,71.7
1998,47.825,63.65,35.65833333,,74.57777778
1999,50.69,63.49166667,31.90833333,48.45454545,75.21
2000,41.82857143,62.15,35.95,47.625,75.71666667
2001,48.77272727,63.04166667,34.88333333,47.33333333,73.94545455
2002,44.7,64.60833333,37.25,47.91666667,75.00909091
2003,48.41818182,62.90833333,37.53333333,49.55,73.8
2004,49.64,63.50833333,36.81666667,50.03333333,75.23333333
2005,46.33333333,62.46666667,37.54166667,48.79166667,75.49166667
2006,50.43,63.31666667,35.29166667,48.48333333,79.43333333
2007,46.28333333,64.175,36.16666667,47.825,74.61
2008,47.28333333,63.35833333,33.95833333,46.76666667,73.32
2009,46.35833333,62.625,36.1,47.60833333,71.08333333
2010,49.55,61.16666667,38.375,48.05,63.8
2011,50.28181818,65.5,,47.40833333,
2012,49.25833333,65.25,,48.78333333,
2013,46.30909091,63.71666667,,49.125,74.53
2014,,62.19166667,,50.375,75.11111111
2015,,64.25,,51.15,70.325
2016,,66.3,,52.17272727,78.18888889
