"City Employment Data, by Industry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The tables below contain average monthly employment, by year, by industry, for three US metro regions and two UK regions. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The three US regions are considered fully urban (Seattle-Tacoma-Bellevue), semi-urban (Omaha-Council Bluffs), and rural (Scranton--Wilkes-Barre--Hazleton), while the UK regions are considered urban (Liverpool) and rural (Barry).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US data comes from and the Bureau of Labor Statistics' (BLS) State and Metro Area Employment, Hours, & Earnings site [1] and UK data comes from the Office for National Statistics' (ONS) Official Labour Market Statistics site [2]. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Industry catagories differ between the BLS and ONS, so an effort was made to reclassify the ONS industry catagories to match those of the BLS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Certain US industry numbers are seasonally adjusted (a statistical technique that attempts to measure and remove the impact of predictable seasonal patterns). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average monthly number of employees by industry for entire metro area [1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Cities,"Seattle, Washington",,,,,,,"Omaha, Nebraska",,,,,,,"Scranton, Pennsylvania",,,,,,,,,,,,,,,,,,,,
,2000,2005,2010,2015,2019,2020,2021,2000,2005,2010,2015,2019,2020,2021,2000,2005,2010,2015,2019,2020,2021,,,,,,,,,,,,,,
"Mining, logging, construction",101700,104700,83600,107100,127600,129900,109600,23500,25700,20900,25800,30500,30400,30700,10700,10600,9400,10200,10500,9800,10300,,,,,,,,,,,,,,
Manufacturing,212800,171300,167000,188200,184300,168400,142200,35700,32900,31200,32700,33600,33000,33500,45600,34900,27800,27000,28600,26900,27200,,,,,,,,,,,,,,
"Trade, transportation, and utilities",325600,313200,301600,354400,398000,390300,332600,108100,99700,94100,98200,96100,91800,94100,55600,58500,58900,62600,63500,61900,63900,,,,,,,,,,,,,,
Information,79500,77700,87700,97500,128400,133700,139000,15300,13300,11200,11600,10500,9900,9800,7000,6300,5000,3500,2900,2600,2500,,,,,,,,,,,,,,
Financial activities,101800,106700,92100,95900,101400,100400,87600,35800,37600,40500,42200,46000,45500,44100,13700,13400,12400,12600,13100,13000,13000,,,,,,,,,,,,,,
Professional and business services,220500,214400,220700,268600,302100,295700,277500,60400,61700,63500,73600,73100,70900,71900,23000,23400,25000,29800,28300,25500,26100,,,,,,,,,,,,,,
Education and health services,183700,198400,231500,251300,283000,272100,223500,55200,61200,71500,76100,79700,78000,79600,45300,49100,52200,51900,55200,51500,50500,,,,,,,,,,,,,,
Leisure and hospitality,145800,152500,155700,185200,207800,150600,133000,41100,42200,43800,48400,52000,43300,47500,19000,22000,21800,23300,23500,17800,18200,,,,,,,,,,,,,,
Other services,57800,61800,63200,70200,78700,71100,59300,14400,16400,17800,18300,18600,17700,18300,10000,10000,8300,8500,8800,7500,7700,,,,,,,,,,,,,,
Government,236000,252100,264200,270300,275500,266000,206700,55300,59900,65300,65900,66900,65200,65200,31200,31700,31700,29400,29000,27900,28300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average monthly number of employees, aged 16-74, by industry [2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Cities,Liverpool,,,,,,Barry (Wales),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2010,2015,2019,2020,2021,2005,2010,2015,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,
"Mining, logging, construction",141000,138700,138000,150300,153500,146240,4100,3500,4500,4600,3300,4100,,,,,,,,,,,,,,,,,,,,,,,
Manufacturing,80200,73900,80500,100200,107500,103120,5700,4300,3500,4900,4800,5700,,,,,,,,,,,,,,,,,,,,,,,
"Trade, transportation, and utilities",92000,109100,128300,146900,145800,146100,1400,900,1400,800,1200,1400,,,,,,,,,,,,,,,,,,,,,,,
Information,59900,68400,66800,72100,73300,73120,4000,4400,3800,3900,3600,4000,,,,,,,,,,,,,,,,,,,,,,,
Financial activities,22400,21105,22890,22820,20160,25592,3045,2940,3710,3535,4095,3045,,,,,,,,,,,,,,,,,,,,,,,
Professional and business services,41600,39195,42510,42380,37440,47528,5655,5460,6890,6565,7605,5655,,,,,,,,,,,,,,,,,,,,,,,
Education and health services,29000,24450,22900,23850,21450,23900,9700,9800,10550,10850,11550,9700,,,,,,,,,,,,,,,,,,,,,,,
Leisure and hospitality,69800,59800,66400,64000,69600,69700,9500,10800,11200,13000,8000,9500,,,,,,,,,,,,,,,,,,,,,,,
Other services,70400,78700,73800,80200,75000,73120,2400,4000,2800,3700,3100,2400,,,,,,,,,,,,,,,,,,,,,,,
Government,29000,24450,22900,23850,21450,26560,9700,9800,10550,10850,11550,9700,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],Bureau of Labor Statistics via https://www.bls.gov/sae/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],UK Office of National Statistics via http://www.nomisweb.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
